valor,data,hora,ps_id
741418.10,2019-10-01,00:00:00,82
741434.40,2019-10-01,00:15:01,82
741451.30,2019-10-01,00:30:01,82
741468.10,2019-10-01,00:45:00,82
741480.80,2019-10-01,01:00:00,82
741482.50,2019-10-01,01:15:00,82
741482.70,2019-10-01,01:30:00,82
741492.20,2019-10-01,01:45:00,82
741503.80,2019-10-01,02:00:00,82
741515.60,2019-10-01,02:15:00,82
741527.00,2019-10-01,02:30:01,82
741538.60,2019-10-01,02:45:00,82
741548.90,2019-10-01,03:00:00,82
741556.20,2019-10-01,03:15:00,82
741563.50,2019-10-01,03:30:00,82
741570.90,2019-10-01,03:45:00,82
741578.10,2019-10-01,04:00:00,82
741585.40,2019-10-01,04:15:00,82
741592.80,2019-10-01,04:30:01,82
741600.10,2019-10-01,04:45:00,82
741607.40,2019-10-01,05:00:00,82
741614.60,2019-10-01,05:15:01,82
741621.90,2019-10-01,05:30:01,82
741629.10,2019-10-01,05:45:00,82
741636.40,2019-10-01,06:00:00,82
741643.60,2019-10-01,06:15:00,82
741650.90,2019-10-01,06:30:00,82
741658.00,2019-10-01,06:45:00,82
741665.20,2019-10-01,07:00:00,82
741672.30,2019-10-01,07:15:00,82
741679.40,2019-10-01,07:30:00,82
741694.60,2019-10-01,07:45:00,82
741710.20,2019-10-01,08:00:00,82
741721.40,2019-10-01,08:15:00,82
741732.70,2019-10-01,08:30:00,82
741744.00,2019-10-01,08:45:00,82
741755.30,2019-10-01,09:00:00,82
741766.60,2019-10-01,09:15:00,82
741777.90,2019-10-01,09:30:00,82
741789.40,2019-10-01,09:45:00,82
741800.80,2019-10-01,10:00:00,82
741812.30,2019-10-01,10:15:00,82
741823.80,2019-10-01,10:30:00,82
741835.40,2019-10-01,10:45:00,82
741847.10,2019-10-01,11:00:00,82
741858.80,2019-10-01,11:15:00,82
741870.50,2019-10-01,11:30:00,82
741882.10,2019-10-01,11:45:00,82
741893.80,2019-10-01,12:00:01,82
741905.60,2019-10-01,12:15:00,82
741917.30,2019-10-01,12:30:00,82
741929.10,2019-10-01,12:45:00,82
741940.80,2019-10-01,13:00:00,82
741952.50,2019-10-01,13:15:00,82
741964.40,2019-10-01,13:30:00,82
741976.30,2019-10-01,13:45:00,82
741988.20,2019-10-01,14:00:00,82
742005.10,2019-10-01,14:15:00,82
742022.40,2019-10-01,14:30:01,82
742039.70,2019-10-01,14:45:00,82
742056.90,2019-10-01,15:00:00,82
742074.30,2019-10-01,15:15:00,82
742091.80,2019-10-01,15:30:00,82
742109.10,2019-10-01,15:45:00,82
742126.60,2019-10-01,16:00:00,82
742144.10,2019-10-01,16:15:00,82
742161.40,2019-10-01,16:30:00,82
742179.00,2019-10-01,16:45:00,82
742196.40,2019-10-01,17:00:00,82
742213.80,2019-10-01,17:15:01,82
742231.10,2019-10-01,17:30:00,82
742248.50,2019-10-01,17:45:00,82
742265.80,2019-10-01,18:00:00,82
742283.30,2019-10-01,18:15:00,82
742300.60,2019-10-01,18:30:01,82
742317.90,2019-10-01,18:45:00,82
742335.30,2019-10-01,19:00:00,82
742352.50,2019-10-01,19:15:00,82
