valor,data,hora,ps_id
15341888.00,2019-10-01,00:00:00,695
15342015.00,2019-10-01,00:15:00,695
15342137.00,2019-10-01,00:30:00,695
15342255.00,2019-10-01,00:45:00,695
15342362.00,2019-10-01,01:00:00,695
15342446.00,2019-10-01,01:15:00,695
15342535.00,2019-10-01,01:30:00,695
15342639.00,2019-10-01,01:45:00,695
15342744.00,2019-10-01,02:00:00,695
15342847.00,2019-10-01,02:15:00,695
15342950.00,2019-10-01,02:30:00,695
15343053.00,2019-10-01,02:45:00,695
15343155.00,2019-10-01,03:00:00,695
15343255.00,2019-10-01,03:15:00,695
15343359.00,2019-10-01,03:30:00,695
15343465.00,2019-10-01,03:45:00,695
15343571.00,2019-10-01,04:00:00,695
15343677.00,2019-10-01,04:15:00,695
15343783.00,2019-10-01,04:30:00,695
15343887.00,2019-10-01,04:45:00,695
15343992.00,2019-10-01,05:00:00,695
15344108.00,2019-10-01,05:15:00,695
15344219.00,2019-10-01,05:30:00,695
15344327.00,2019-10-01,05:45:00,695
15344434.00,2019-10-01,06:00:00,695
15344544.00,2019-10-01,06:15:00,695
15344658.00,2019-10-01,06:30:00,695
15344779.00,2019-10-01,06:45:00,695
15344899.00,2019-10-01,07:00:00,695
15345033.00,2019-10-01,07:15:00,695
15345160.00,2019-10-01,07:30:00,695
15345302.00,2019-10-01,07:45:00,695
15345450.00,2019-10-01,08:00:00,695
15345610.00,2019-10-01,08:15:00,695
15345774.00,2019-10-01,08:30:00,695
15345931.00,2019-10-01,08:45:00,695
15346082.00,2019-10-01,09:00:00,695
15346250.00,2019-10-01,09:15:00,695
15346412.00,2019-10-01,09:30:00,695
15346568.00,2019-10-01,09:45:00,695
15346720.00,2019-10-01,10:00:00,695
15346877.00,2019-10-01,10:15:00,695
15347032.00,2019-10-01,10:30:00,695
15347182.00,2019-10-01,10:45:00,695
15347341.00,2019-10-01,11:00:00,695
15347502.00,2019-10-01,11:15:00,695
15347658.00,2019-10-01,11:30:00,695
15347807.00,2019-10-01,11:45:00,695
15347956.00,2019-10-01,12:00:00,695
15348118.00,2019-10-01,12:15:00,695
15348282.00,2019-10-01,12:30:00,695
15348431.00,2019-10-01,12:45:00,695
15348572.00,2019-10-01,13:00:00,695
15348725.00,2019-10-01,13:15:00,695
15348887.00,2019-10-01,13:30:00,695
15349038.00,2019-10-01,13:45:00,695
15349189.00,2019-10-01,14:00:00,695
15349349.00,2019-10-01,14:15:00,695
15349501.00,2019-10-01,14:30:00,695
15349651.00,2019-10-01,14:45:00,695
15349803.00,2019-10-01,15:00:00,695
15349959.00,2019-10-01,15:15:00,695
15350127.00,2019-10-01,15:30:00,695
15350294.00,2019-10-01,15:45:00,695
15350452.00,2019-10-01,16:00:00,695
15350597.00,2019-10-01,16:15:00,695
15350749.00,2019-10-01,16:30:00,695
15350902.00,2019-10-01,16:45:00,695
15351044.00,2019-10-01,17:00:00,695
15351192.00,2019-10-01,17:15:00,695
15351344.00,2019-10-01,17:30:00,695
15351503.00,2019-10-01,17:45:00,695
15351649.00,2019-10-01,18:00:00,695
15351798.00,2019-10-01,18:15:00,695
15351947.00,2019-10-01,18:30:00,695
15352093.00,2019-10-01,18:45:00,695
15352245.00,2019-10-01,19:00:00,695
15352408.00,2019-10-01,19:15:00,695
15352571.00,2019-10-01,19:30:00,695
15352736.00,2019-10-01,19:45:00,695
15352901.00,2019-10-01,20:00:00,695
15353069.00,2019-10-01,20:15:00,695
15353233.00,2019-10-01,20:30:00,695
15353395.00,2019-10-01,20:45:00,695
15353555.00,2019-10-01,21:00:00,695
15353719.00,2019-10-01,21:15:00,695
15353879.00,2019-10-01,21:30:00,695
15354028.00,2019-10-01,21:45:00,695
15354182.00,2019-10-01,22:00:00,695
15354332.00,2019-10-01,22:15:00,695
15354476.00,2019-10-01,22:30:00,695
15354606.00,2019-10-01,22:45:00,695
15354726.00,2019-10-01,23:00:00,695
15354854.00,2019-10-01,23:15:00,695
15354979.00,2019-10-01,23:30:00,695
15355103.00,2019-10-01,23:45:00,695
15355225.00,2019-10-01,23:59:00,695
15355225.00,2019-10-02,00:00:00,695
15355359.00,2019-10-02,00:15:00,695
15355488.00,2019-10-02,00:30:00,695
15355610.00,2019-10-02,00:45:00,695
15355720.00,2019-10-02,01:00:00,695
15355800.00,2019-10-02,01:15:00,695
15355898.00,2019-10-02,01:30:00,695
15356002.00,2019-10-02,01:45:00,695
15356107.00,2019-10-02,02:00:00,695
15356211.00,2019-10-02,02:15:00,695
15356316.00,2019-10-02,02:30:00,695
15356420.00,2019-10-02,02:45:00,695
15356524.00,2019-10-02,03:00:00,695
15356627.00,2019-10-02,03:15:00,695
15356732.00,2019-10-02,03:30:00,695
15356846.00,2019-10-02,03:45:00,695
15356956.00,2019-10-02,04:00:00,695
15357067.00,2019-10-02,04:15:00,695
15357178.00,2019-10-02,04:30:00,695
15357289.00,2019-10-02,04:45:00,695
15357405.00,2019-10-02,05:00:00,695
15357520.00,2019-10-02,05:15:00,695
15357632.00,2019-10-02,05:30:00,695
15357739.00,2019-10-02,05:45:00,695
15357848.00,2019-10-02,06:00:00,695
15357958.00,2019-10-02,06:15:00,695
15358073.00,2019-10-02,06:30:00,695
15358193.00,2019-10-02,06:45:00,695
15358317.00,2019-10-02,07:00:00,695
15358455.00,2019-10-02,07:15:00,695
15358589.00,2019-10-02,07:30:00,695
15358747.00,2019-10-02,07:45:00,695
15358895.00,2019-10-02,08:00:00,695
15359053.00,2019-10-02,08:15:00,695
15359206.00,2019-10-02,08:30:00,695
15359360.00,2019-10-02,08:45:00,695
15359526.00,2019-10-02,09:00:00,695
15359692.00,2019-10-02,09:15:00,695
15359855.00,2019-10-02,09:30:00,695
15360029.00,2019-10-02,09:45:00,695
15360199.00,2019-10-02,10:00:00,695
15360361.00,2019-10-02,10:15:00,695
15360527.00,2019-10-02,10:30:00,695
15360690.00,2019-10-02,10:45:00,695
15360845.00,2019-10-02,11:00:00,695
15360991.00,2019-10-02,11:15:00,695
15361134.00,2019-10-02,11:30:00,695
15361279.00,2019-10-02,11:45:00,695
15361421.00,2019-10-02,12:00:00,695
15361570.00,2019-10-02,12:15:00,695
15361731.00,2019-10-02,12:30:00,695
15361881.00,2019-10-02,12:45:00,695
15362022.00,2019-10-02,13:00:00,695
15362167.00,2019-10-02,13:15:00,695
15362317.00,2019-10-02,13:30:00,695
15362460.00,2019-10-02,13:45:00,695
15362607.00,2019-10-02,14:00:00,695
15362771.00,2019-10-02,14:15:00,695
15362932.00,2019-10-02,14:30:00,695
15363103.00,2019-10-02,14:45:00,695
15363265.00,2019-10-02,15:00:00,695
15363430.00,2019-10-02,15:15:00,695
15363592.00,2019-10-02,15:30:00,695
15363748.00,2019-10-02,15:45:00,695
15363906.00,2019-10-02,16:00:00,695
15364068.00,2019-10-02,16:15:00,695
15364238.00,2019-10-02,16:30:00,695
15364396.00,2019-10-02,16:45:00,695
15364552.00,2019-10-02,17:00:00,695
15364715.00,2019-10-02,17:15:00,695
15364873.00,2019-10-02,17:30:00,695
15365026.00,2019-10-02,17:45:00,695
15365184.00,2019-10-02,18:00:00,695
15365340.00,2019-10-02,18:15:00,695
15365501.00,2019-10-02,18:30:00,695
15365647.00,2019-10-02,18:45:00,695
15365807.00,2019-10-02,19:00:00,695
15365973.00,2019-10-02,19:15:00,695
15366151.00,2019-10-02,19:30:00,695
15366332.00,2019-10-02,19:45:00,695
15366508.00,2019-10-02,20:00:00,695
15366685.00,2019-10-02,20:15:00,695
15366859.00,2019-10-02,20:30:00,695
15367034.00,2019-10-02,20:45:00,695
15367206.00,2019-10-02,21:00:00,695
15367381.00,2019-10-02,21:15:00,695
15367556.00,2019-10-02,21:30:00,695
15367725.00,2019-10-02,21:45:00,695
15367894.00,2019-10-02,22:00:00,695
15368056.00,2019-10-02,22:15:00,695
15368214.00,2019-10-02,22:30:00,695
15368351.00,2019-10-02,22:45:00,695
15368481.00,2019-10-02,23:00:00,695
15368617.00,2019-10-02,23:15:00,695
15368751.00,2019-10-02,23:30:00,695
15368881.00,2019-10-02,23:45:00,695
15369010.00,2019-10-02,23:59:00,695
15369010.00,2019-10-03,00:00:00,695
15369145.00,2019-10-03,00:15:00,695
15369273.00,2019-10-03,00:30:00,695
15369399.00,2019-10-03,00:45:00,695
15369518.00,2019-10-03,01:00:00,695
15369618.00,2019-10-03,01:15:00,695
15369719.00,2019-10-03,01:30:00,695
15369822.00,2019-10-03,01:45:00,695
15369926.00,2019-10-03,02:00:00,695
15370031.00,2019-10-03,02:15:00,695
15370135.00,2019-10-03,02:30:00,695
15370240.00,2019-10-03,02:45:00,695
15370345.00,2019-10-03,03:00:00,695
15370450.00,2019-10-03,03:15:00,695
15370556.00,2019-10-03,03:30:00,695
15370668.00,2019-10-03,03:45:00,695
15370781.00,2019-10-03,04:00:00,695
15370896.00,2019-10-03,04:15:00,695
15371010.00,2019-10-03,04:30:00,695
15371123.00,2019-10-03,04:45:00,695
15371238.00,2019-10-03,05:00:00,695
15371361.00,2019-10-03,05:15:00,695
15371484.00,2019-10-03,05:30:00,695
15371604.00,2019-10-03,05:45:00,695
15371721.00,2019-10-03,06:00:00,695
15371841.00,2019-10-03,06:15:00,695
15371967.00,2019-10-03,06:30:00,695
15372095.00,2019-10-03,06:45:00,695
15372225.00,2019-10-03,07:00:00,695
15372361.00,2019-10-03,07:15:00,695
15372490.00,2019-10-03,07:30:00,695
15372642.00,2019-10-03,07:45:00,695
15372797.00,2019-10-03,08:00:00,695
15372973.00,2019-10-03,08:15:00,695
15373132.00,2019-10-03,08:30:00,695
15373292.00,2019-10-03,08:45:00,695
15373458.00,2019-10-03,09:00:00,695
15373617.00,2019-10-03,09:15:00,695
15373777.00,2019-10-03,09:30:00,695
15373941.00,2019-10-03,09:45:00,695
15374105.00,2019-10-03,10:00:00,695
15374262.00,2019-10-03,10:15:00,695
15374436.00,2019-10-03,10:30:00,695
15374603.00,2019-10-03,10:45:00,695
15374761.00,2019-10-03,11:00:00,695
15374916.00,2019-10-03,11:15:00,695
15375061.00,2019-10-03,11:30:00,695
15375198.00,2019-10-03,11:45:00,695
15375343.00,2019-10-03,12:00:00,695
15375494.00,2019-10-03,12:15:00,695
15375647.00,2019-10-03,12:30:00,695
15375804.00,2019-10-03,12:45:00,695
15375957.00,2019-10-03,13:00:00,695
15376105.00,2019-10-03,13:15:00,695
15376251.00,2019-10-03,13:30:00,695
15376401.00,2019-10-03,13:45:00,695
15376548.00,2019-10-03,14:00:00,695
15376706.00,2019-10-03,14:15:00,695
15376868.00,2019-10-03,14:30:00,695
15377041.00,2019-10-03,14:45:00,695
15377212.00,2019-10-03,15:00:00,695
15377377.00,2019-10-03,15:15:00,695
15377529.00,2019-10-03,15:30:00,695
15377690.00,2019-10-03,15:45:00,695
15377862.00,2019-10-03,16:00:00,695
15378015.00,2019-10-03,16:15:00,695
15378169.00,2019-10-03,16:30:00,695
15378329.00,2019-10-03,16:45:00,695
15378482.00,2019-10-03,17:00:00,695
15378644.00,2019-10-03,17:15:00,695
15378796.00,2019-10-03,17:30:00,695
15378946.00,2019-10-03,17:45:00,695
15379094.00,2019-10-03,18:00:00,695
15379257.00,2019-10-03,18:15:00,695
15379423.00,2019-10-03,18:30:00,695
15379582.00,2019-10-03,18:45:00,695
15379746.00,2019-10-03,19:00:00,695
15379919.00,2019-10-03,19:15:00,695
15380096.00,2019-10-03,19:30:00,695
15380274.00,2019-10-03,19:45:00,695
15380445.00,2019-10-03,20:00:00,695
15380616.00,2019-10-03,20:15:00,695
15380788.00,2019-10-03,20:30:00,695
15380961.00,2019-10-03,20:45:00,695
15381133.00,2019-10-03,21:00:00,695
15381304.00,2019-10-03,21:15:00,695
15381475.00,2019-10-03,21:30:00,695
15381647.00,2019-10-03,21:45:00,695
15381816.00,2019-10-03,22:00:00,695
15381960.00,2019-10-03,22:15:00,695
15382103.00,2019-10-03,22:30:00,695
15382226.00,2019-10-03,22:45:00,695
15382345.00,2019-10-03,23:00:00,695
15382484.00,2019-10-03,23:15:00,695
15382618.00,2019-10-03,23:30:00,695
15382744.00,2019-10-03,23:45:00,695
15382870.00,2019-10-03,23:59:00,695
15382870.00,2019-10-04,00:00:00,695
15383006.00,2019-10-04,00:15:00,695
15383135.00,2019-10-04,00:30:00,695
15383258.00,2019-10-04,00:45:00,695
15383378.00,2019-10-04,01:00:00,695
15383475.00,2019-10-04,01:15:00,695
15383572.00,2019-10-04,01:30:00,695
15383675.00,2019-10-04,01:45:00,695
15383778.00,2019-10-04,02:00:00,695
15383883.00,2019-10-04,02:15:00,695
15383987.00,2019-10-04,02:30:00,695
15384092.00,2019-10-04,02:45:00,695
15384195.00,2019-10-04,03:00:00,695
15384298.00,2019-10-04,03:15:00,695
15384402.00,2019-10-04,03:30:00,695
15384510.00,2019-10-04,03:45:00,695
15384623.00,2019-10-04,04:00:00,695
15384735.00,2019-10-04,04:15:00,695
15384848.00,2019-10-04,04:30:00,695
15384959.00,2019-10-04,04:45:00,695
15385072.00,2019-10-04,05:00:00,695
15385193.00,2019-10-04,05:15:00,695
15385309.00,2019-10-04,05:30:00,695
15385421.00,2019-10-04,05:45:00,695
15385535.00,2019-10-04,06:00:00,695
15385650.00,2019-10-04,06:15:00,695
15385765.00,2019-10-04,06:30:00,695
15385885.00,2019-10-04,06:45:00,695
15386008.00,2019-10-04,07:00:00,695
15386156.00,2019-10-04,07:15:00,695
15386292.00,2019-10-04,07:30:00,695
15386435.00,2019-10-04,07:45:00,695
15386580.00,2019-10-04,08:00:00,695
15386732.00,2019-10-04,08:15:00,695
15386885.00,2019-10-04,08:30:00,695
15387041.00,2019-10-04,08:45:00,695
15387205.00,2019-10-04,09:00:00,695
15387373.00,2019-10-04,09:15:00,695
15387530.00,2019-10-04,09:30:00,695
15387684.00,2019-10-04,09:45:00,695
15387845.00,2019-10-04,10:00:00,695
15388010.00,2019-10-04,10:15:00,695
15388176.00,2019-10-04,10:30:00,695
15388324.00,2019-10-04,10:45:00,695
15388470.00,2019-10-04,11:00:00,695
15388630.00,2019-10-04,11:15:00,695
15388779.00,2019-10-04,11:30:00,695
15388929.00,2019-10-04,11:45:00,695
15389082.00,2019-10-04,12:00:00,695
15389244.00,2019-10-04,12:15:00,695
15389394.00,2019-10-04,12:30:00,695
15389546.00,2019-10-04,12:45:00,695
15389698.00,2019-10-04,13:00:00,695
15389856.00,2019-10-04,13:15:00,695
15390007.00,2019-10-04,13:30:00,695
15390170.00,2019-10-04,13:45:00,695
15390335.00,2019-10-04,14:00:00,695
15390491.00,2019-10-04,14:15:00,695
15390650.00,2019-10-04,14:30:00,695
15390819.00,2019-10-04,14:45:00,695
15390972.00,2019-10-04,15:00:00,695
15391131.00,2019-10-04,15:15:00,695
15391292.00,2019-10-04,15:30:00,695
15391451.00,2019-10-04,15:45:00,695
15391605.00,2019-10-04,16:00:00,695
15391768.00,2019-10-04,16:15:00,695
15391926.00,2019-10-04,16:30:00,695
15392090.00,2019-10-04,16:45:00,695
15392242.00,2019-10-04,17:00:00,695
15392396.00,2019-10-04,17:15:00,695
15392551.00,2019-10-04,17:30:00,695
15392702.00,2019-10-04,17:45:00,695
15392851.00,2019-10-04,18:00:00,695
15393012.00,2019-10-04,18:15:00,695
15393175.00,2019-10-04,18:30:00,695
15393335.00,2019-10-04,18:45:00,695
15393505.00,2019-10-04,19:00:00,695
