valor,data,hora,ps_id
1681342.10,2019-10-01,00:00:01,3
1681380.10,2019-10-01,00:15:01,3
1681420.10,2019-10-01,00:30:01,3
1681458.10,2019-10-01,00:45:01,3
1681488.00,2019-10-01,01:00:01,3
1681491.80,2019-10-01,01:15:00,3
1681496.60,2019-10-01,01:30:01,3
1681518.50,2019-10-01,01:45:00,3
1681542.50,2019-10-01,02:00:01,3
1681566.50,2019-10-01,02:15:00,3
1681590.30,2019-10-01,02:30:01,3
1681614.10,2019-10-01,02:45:00,3
1681636.80,2019-10-01,03:00:01,3
1681656.30,2019-10-01,03:15:00,3
1681675.80,2019-10-01,03:30:01,3
1681695.40,2019-10-01,03:45:01,3
1681715.00,2019-10-01,04:00:01,3
1681734.50,2019-10-01,04:15:01,3
1681754.30,2019-10-01,04:30:01,3
1681773.80,2019-10-01,04:45:01,3
1681793.30,2019-10-01,05:00:01,3
1681812.80,2019-10-01,05:15:01,3
1681832.10,2019-10-01,05:30:01,3
1681851.50,2019-10-01,05:45:00,3
1681871.00,2019-10-01,06:00:01,3
1681890.50,2019-10-01,06:15:00,3
1681909.80,2019-10-01,06:30:01,3
1681929.00,2019-10-01,06:45:01,3
1681948.10,2019-10-01,07:00:01,3
1681967.40,2019-10-01,07:15:00,3
1681986.40,2019-10-01,07:30:00,3
1682017.50,2019-10-01,07:45:01,3
1682049.80,2019-10-01,08:00:00,3
1682077.90,2019-10-01,08:15:01,3
1682105.00,2019-10-01,08:30:00,3
1682128.40,2019-10-01,08:45:01,3
1682151.50,2019-10-01,09:00:00,3
1682175.00,2019-10-01,09:15:00,3
1682198.30,2019-10-01,09:30:00,3
1682221.80,2019-10-01,09:45:01,3
1682245.30,2019-10-01,10:00:00,3
1682269.00,2019-10-01,10:15:01,3
1682292.60,2019-10-01,10:30:01,3
1682320.90,2019-10-01,10:45:01,3
1682349.80,2019-10-01,11:00:01,3
1682379.00,2019-10-01,11:15:01,3
1682408.10,2019-10-01,11:30:01,3
1682437.30,2019-10-01,11:45:00,3
1682466.10,2019-10-01,12:00:01,3
1682495.50,2019-10-01,12:15:01,3
1682524.80,2019-10-01,12:30:00,3
1682554.00,2019-10-01,12:45:00,3
1682583.10,2019-10-01,13:00:01,3
1682612.40,2019-10-01,13:15:01,3
1682641.90,2019-10-01,13:30:00,3
1682671.80,2019-10-01,13:45:01,3
1682701.30,2019-10-01,14:00:01,3
1682735.80,2019-10-01,14:15:01,3
1682770.90,2019-10-01,14:30:01,3
