Control_modo_func_instalacion_955_0,datetime,potencia_electrica_activa_1_maq_1_0,potencia_electrica_activa_2_maq_49_0,potencia_electrica_activa_3_maq_195_0,potencia_electrica_activa_instalacion_900_0,presiones_alta_c1_1_maq_9_0,presiones_baja_c1_1_maq_10_0,presiones_alta_c2_1_maq_11_0,presiones_baja_c2_1_maq_12_0,presiones_alta_c1_2_maq_32_0,presiones_alta_c2_2_maq_33_0,presiones_baja_c1_2_maq_34_0,presiones_baja_c2_2_maq_35_0,presiones_alta_c1_3_maq_189_0,presiones_alta_c2_3_maq_190_0,presiones_baja_c1_3_maq_191_0,presiones_baja_c2_3_maq_192_0,temperaturas_exterior_instalacion_13_0,temperaturas_impulsion_1_maq_15_0,temperaturas_retorno_1_maq_16_0,temperaturas_impulsion_2_maq_36_0,temperaturas_retorno_2_maq_37_0,temperaturas_impulsion_instalacion_43_1,temperaturas_impulsion_3_maq_187_0,temperaturas_retorno_3_maq_188_0
,2020-02-01 00:00:00,0.45,0.45,46.10,47.00,13.40,13.10,13.50,13.10,13.90,13.70,12.30,13.80,19.50,18.90,9.30,7.70,,16.00,16.10,15.60,15.70,14.90,13.10,15.60
,2020-02-01 00:00:01,,,,,,,,,,,,,,,,,20.39,,,,,,,
1.00,2020-02-01 00:02:00,,,,,,,,,,,,,,,,,,,,,,,,
,2020-02-01 00:05:00,0.45,0.45,49.30,50.20,13.30,13.10,13.40,13.10,13.80,13.60,12.30,13.70,26.60,18.30,9.00,4.90,,15.90,16.00,15.50,15.60,15.20,14.20,15.50
,2020-02-01 00:05:01,,,,,,,,,,,,,,,,,20.39,,,,,,,
,2020-02-01 00:10:00,0.45,0.45,52.05,52.95,13.30,13.10,13.40,13.10,13.80,13.50,12.30,13.70,31.10,18.10,9.00,8.20,,15.80,15.90,15.50,15.60,15.00,13.70,15.40
,2020-02-01 00:10:01,,,,,,,,,,,,,,,,,20.15,,,,,,,
1.00,2020-02-01 00:11:00,,,,,,,,,,,,,,,,,,,,,,,,
,2020-02-01 00:15:00,0.45,0.45,53.75,54.65,13.30,13.10,13.40,13.10,13.70,13.40,12.30,13.70,34.10,18.10,9.00,8.90,,15.80,15.90,15.50,15.60,14.80,13.10,15.40
,2020-02-01 00:15:01,,,,,,,,,,,,,,,,,19.78,,,,,,,
,2020-02-01 00:20:00,0.45,0.45,44.00,44.90,13.30,13.10,13.40,13.00,13.70,13.40,12.20,13.70,17.30,19.00,9.10,4.00,,15.80,15.90,15.40,15.50,15.00,13.80,15.40
,2020-02-01 00:20:01,,,,,,,,,,,,,,,,,20.03,,,,,,,
1.00,2020-02-01 00:21:00,,,,,,,,,,,,,,,,,,,,,,,,
,2020-02-01 00:25:00,0.45,0.45,51.20,52.10,13.20,13.00,13.30,13.00,13.60,13.40,12.20,13.70,29.40,18.10,9.00,7.20,,15.70,15.80,15.30,15.40,14.93,13.80,15.30
,2020-02-01 00:25:01,,,,,,,,,,,,,,,,,20.15,,,,,,,
,2020-02-01 00:30:00,0.45,0.40,53.05,53.90,13.20,13.10,13.30,13.00,13.70,13.40,12.20,13.60,33.20,18.10,9.00,8.70,,15.70,15.80,15.30,15.40,14.70,13.10,15.30
,2020-02-01 00:30:01,,,,,,,,,,,,,,,,,20.27,,,,,,,
1.00,2020-02-01 00:31:00,,,,,,,,,,,,,,,,,,,,,,,,
,2020-02-01 00:35:00,0.45,0.45,43.80,44.70,13.20,13.00,13.30,13.00,13.70,13.40,12.20,13.60,17.20,19.00,9.00,3.90,,15.60,15.80,15.30,15.40,14.83,13.60,15.30
,2020-02-01 00:35:01,,,,,,,,,,,,,,,,,19.90,,,,,,,
,2020-02-01 00:40:00,0.45,0.45,43.40,44.30,13.20,13.00,13.30,13.00,13.70,13.40,12.20,13.60,29.70,30.70,9.50,7.80,,15.60,15.70,15.20,15.30,14.93,14.00,15.20
,2020-02-01 00:40:01,,,,,,,,,,,,,,,,,21.01,,,,,,,
