Verano - invierno,datetime,% compuerta exterior,Filtro sucio,Verano - Invierno Tienda,Humedad interior,Humedad exterior,Potencia Rooftop,Presión Alta C1,Presión Baja C1,Presión Alta C2,Presión Baja C2,Presión Alta C3,Presión Alta C4,Presión Baja C3,Presión Baja C4,Tª exterior,Tª interior,Tª impulsión,Tª retorno,Tª consigna activa
1.0,2019-10-01 00:00:00,0.0,1.0,1.0,49.3,89.8,0.32,14.29,14.22,14.1,14.16,14.23,14.38,14.49,14.24,21.2,26.1,21.8,23.0,25.2
,2019-10-01 00:05:00,0.0,,,49.3,89.8,0.32,14.29,14.22,14.1,14.16,14.17,14.26,14.43,14.13,21.2,26.1,21.8,22.9,
,2019-10-01 00:10:00,0.0,,1.0,49.6,89.8,0.32,14.29,14.22,14.1,14.16,14.18,14.35,14.44,14.18,21.2,26.2,21.8,22.8,25.2
1.0,2019-10-01 00:15:00,0.0,1.0,,49.5,89.8,0.32,14.29,14.16,14.1,14.16,14.24,14.23,14.21,14.13,21.2,26.2,21.7,22.8,
,2019-10-01 00:20:00,0.0,,1.0,49.6,89.8,0.32,14.29,14.22,14.1,14.16,14.23,14.37,14.26,14.28,21.2,26.2,21.7,22.7,25.2
,2019-10-01 00:25:00,0.0,,,49.8,89.8,0.32,14.29,14.22,14.1,14.16,14.18,14.43,14.43,14.26,21.1,26.2,21.7,22.6,
1.0,2019-10-01 00:30:00,0.0,1.0,1.0,49.8,89.8,0.32,14.29,14.22,14.1,14.16,14.23,14.38,14.43,14.21,21.1,26.2,21.7,22.6,25.2
,2019-10-01 00:35:00,0.0,,,49.9,89.8,0.32,14.29,14.16,14.1,14.16,14.28,14.35,14.13,14.32,21.1,26.2,21.7,22.5,
,2019-10-01 00:40:00,0.0,,1.0,49.9,89.8,0.32,14.29,14.22,14.1,14.16,14.15,14.4,14.28,14.23,21.1,26.2,21.7,22.5,25.2
1.0,2019-10-01 00:45:00,0.0,1.0,,49.9,89.8,0.32,14.29,14.16,14.1,14.16,14.2,14.32,14.49,14.28,21.1,26.2,21.7,22.5,
,2019-10-01 00:50:00,0.0,,1.0,49.9,89.8,0.32,14.29,14.16,14.1,14.16,14.2,14.28,14.28,14.32,21.1,26.2,21.7,22.4,25.2
,2019-10-01 00:55:00,0.0,,,50.1,89.8,0.28,14.29,14.16,14.1,14.16,14.2,14.26,14.26,14.34,21.2,26.2,21.7,22.4,
1.0,2019-10-01 01:00:00,0.0,1.0,1.0,50.1,89.8,0.28,14.29,14.22,14.1,14.16,14.15,14.4,14.31,14.26,21.2,26.2,21.7,22.3,25.2
,2019-10-01 01:05:00,0.0,,,50.2,89.8,0.32,14.29,14.22,14.1,14.16,14.21,14.38,14.44,14.21,21.2,26.2,21.7,22.3,
,2019-10-01 01:10:00,0.0,,1.0,50.6,89.8,0.32,14.29,14.22,14.1,14.22,14.21,14.18,14.38,14.24,21.2,26.2,21.7,22.3,25.2
1.0,2019-10-01 01:15:00,0.0,1.0,,50.4,89.8,0.32,14.29,14.22,14.16,14.22,14.32,14.13,14.26,14.32,21.3,26.2,21.7,22.3,
,2019-10-01 01:20:00,0.0,,1.0,50.7,89.8,0.32,14.29,14.22,14.16,14.22,14.18,14.46,14.44,14.26,21.4,26.2,21.7,22.4,25.2
,2019-10-01 01:25:00,0.0,,,50.9,89.8,0.32,14.35,14.22,14.16,14.22,14.35,14.23,14.32,14.34,21.5,26.2,21.7,22.4,
1.0,2019-10-01 01:30:00,0.0,1.0,1.0,50.8,89.8,0.36,14.35,14.29,14.16,14.22,14.37,14.48,14.29,14.34,21.5,26.2,21.7,22.4,25.2
,2019-10-01 01:35:00,0.0,,,51.2,89.8,0.32,14.35,14.29,14.22,14.29,14.41,14.31,14.34,14.48,21.6,26.2,21.7,22.4,
,2019-10-01 01:40:00,0.0,,1.0,50.9,89.9,0.36,14.35,14.29,14.22,14.29,14.38,14.24,14.38,14.4,21.7,26.2,21.7,22.4,25.2
1.0,2019-10-01 01:45:00,0.0,1.0,,50.9,89.8,0.32,14.41,14.29,14.22,14.29,14.38,14.46,14.32,14.4,21.7,26.2,21.7,22.4,
,2019-10-01 01:50:00,0.0,,1.0,51.2,89.8,0.32,14.41,14.35,14.22,14.29,14.26,14.51,14.52,14.4,21.7,26.2,21.7,22.4,25.2
,2019-10-01 01:55:00,0.0,,,51.0,89.8,0.36,14.41,14.35,14.22,14.35,14.26,14.43,14.52,14.44,21.7,26.2,21.8,22.4,
1.0,2019-10-01 02:00:00,0.0,1.0,1.0,51.1,89.8,0.32,14.41,14.35,14.22,14.35,14.44,14.4,14.37,14.31,21.7,26.2,21.8,22.4,25.2
,2019-10-01 02:05:00,0.0,,,51.1,89.8,0.32,14.41,14.35,14.29,14.35,14.43,14.32,14.49,14.41,21.7,26.2,21.8,22.4,
,2019-10-01 02:10:00,0.0,,1.0,51.2,89.8,0.28,14.41,14.35,14.29,14.35,14.37,14.4,14.37,14.51,21.7,26.2,21.8,22.4,25.2
1.0,2019-10-01 02:15:00,0.0,1.0,,51.4,89.8,0.32,14.41,14.35,14.29,14.35,14.44,14.57,14.46,14.32,21.7,26.2,21.8,22.4,
,2019-10-01 02:20:00,0.0,,1.0,51.2,89.8,0.36,14.41,14.35,14.29,14.35,14.49,14.54,14.43,14.41,21.7,26.2,21.8,22.4,25.2
,2019-10-01 02:25:00,0.0,,,51.2,89.8,0.32,14.41,14.29,14.22,14.35,14.37,14.35,14.57,14.48,21.7,26.2,21.8,22.4,
