Paro - marcha,datetime,Verano - invierno,% compuerta exterior,Alarma,Filtro sucio,Algoritmos,Verano - Invierno Tienda,Rooftop,Energía Contador,Humedad interior,Humedad exterior,CO2,Potencia Rooftop,Potencia General,Presión Alta C1,Presión Baja C1,Presión Alta C2,Presión Baja C2,Presión Alta C3,Presión Alta C4,Presión Baja C3,Presión Baja C4,Tª exterior,Tª interior,Tª impulsión,Tª retorno,Tª SET verano,Tª SET invierno,Tª consigna activa
1.0,2020-01-01 00:00:00,1.0,0.0,0.0,0.0,1.0,1.0,284265.89,642785.0,37.3,89.9,714.0,0.36,4.0,9.79,9.73,9.73,9.73,9.76,9.85,9.76,9.93,8.2,23.4,16.3,13.2,24.2,20.2,24.0
1.0,2020-01-01 00:05:00,,0.0,0.0,,,,,,37.2,89.9,712.0,0.36,,9.79,9.67,9.73,9.67,9.73,10.04,9.74,9.82,8.1,23.3,16.3,13.0,,,
1.0,2020-01-01 00:10:00,,0.0,0.0,,,1.0,,,37.3,89.9,710.0,0.32,,9.79,9.67,9.73,9.67,9.63,9.87,9.74,9.88,8.1,23.2,16.5,13.0,,,24.75
1.0,2020-01-01 00:15:00,1.0,0.0,0.0,0.0,1.0,,284265.98,642786.0,37.3,89.9,708.0,0.36,4.0,9.79,9.67,9.73,9.67,9.59,9.77,9.59,9.79,8.0,23.2,16.4,13.0,24.2,20.2,
1.0,2020-01-01 00:20:00,,0.0,0.0,,,1.0,,,37.2,89.9,706.0,0.36,,9.73,9.61,9.67,9.67,9.6,9.85,9.51,9.88,8.0,23.2,16.4,12.9,,,24.75
1.0,2020-01-01 00:25:00,,0.0,0.0,,,,,,37.3,89.9,704.0,0.32,,9.73,9.61,9.67,9.67,9.62,9.93,9.77,9.71,8.0,23.2,16.3,12.9,,,
1.0,2020-01-01 00:30:00,1.0,0.0,0.0,0.0,1.0,1.0,284266.06,642786.0,37.4,89.9,706.0,0.36,0.0,9.73,9.61,9.67,9.67,9.63,10.02,9.71,9.9,8.0,23.2,16.3,12.8,24.2,20.2,24.75
1.0,2020-01-01 00:35:00,,0.0,0.0,,,,,,37.3,89.9,700.0,0.28,,9.73,9.67,9.67,9.67,9.71,9.88,9.74,9.93,8.1,23.2,16.2,12.7,,,
1.0,2020-01-01 00:40:00,,0.0,0.0,,,1.0,,,37.3,89.9,694.0,0.28,,9.73,9.61,9.67,9.61,9.54,9.9,9.7,9.91,8.0,23.2,16.2,12.7,,,24.75
1.0,2020-01-01 00:45:00,1.0,0.0,0.0,0.0,1.0,,284266.15,642787.0,37.1,89.9,696.0,0.36,4.0,9.73,9.61,9.67,9.61,9.57,9.99,9.7,9.67,8.0,23.2,16.2,12.7,24.2,20.2,
1.0,2020-01-01 00:50:00,,0.0,0.0,,,1.0,,,37.2,89.9,688.0,0.36,,9.67,9.61,9.61,9.61,9.56,9.71,9.49,9.73,7.9,23.1,16.1,12.6,,,24.75
1.0,2020-01-01 00:55:00,,0.0,0.0,,,,,,37.1,89.8,682.0,0.36,,9.61,9.54,9.61,9.54,9.46,9.63,9.54,9.71,7.7,23.2,15.9,12.5,,,
1.0,2020-01-01 01:00:00,1.0,0.0,0.0,0.0,1.0,1.0,284266.23,642788.0,37.1,89.9,680.0,0.36,4.0,9.61,9.54,9.54,9.54,9.51,9.73,9.4,9.54,7.6,23.2,15.8,12.4,24.2,20.2,24.75
1.0,2020-01-01 01:05:00,,0.0,0.0,,,,,,37.0,89.9,662.0,0.36,,9.61,9.54,9.54,9.48,9.46,9.62,9.6,9.7,7.6,23.2,15.6,12.3,,,
1.0,2020-01-01 01:10:00,,0.0,0.0,,,1.0,,,36.8,89.9,650.0,0.36,,9.61,9.54,9.54,9.48,9.53,9.76,9.49,9.7,7.6,23.2,15.4,12.3,,,24.75
1.0,2020-01-01 01:15:00,1.0,0.0,0.0,0.0,1.0,,284266.32,642789.0,36.8,89.8,658.0,0.36,4.0,9.54,9.48,9.54,9.48,9.56,9.76,9.42,9.67,7.5,23.2,15.2,12.2,24.2,20.2,
1.0,2020-01-01 01:20:00,,0.0,0.0,,,1.0,,,37.0,89.9,676.0,0.36,,9.54,9.48,9.48,9.48,9.37,9.57,9.65,9.62,7.5,23.1,15.6,12.2,,,24.75
1.0,2020-01-01 01:25:00,,0.0,0.0,,,,,,37.3,89.9,680.0,0.36,,9.54,9.48,9.48,9.42,9.48,9.57,9.32,9.59,7.5,23.0,15.6,12.2,,,
1.0,2020-01-01 01:30:00,1.0,0.0,0.0,0.0,1.0,1.0,284266.41,642790.0,37.3,89.9,684.0,0.36,4.0,9.48,9.42,9.48,9.42,9.46,9.49,9.32,9.6,7.5,22.9,15.8,12.1,24.2,20.2,24.75
1.0,2020-01-01 01:35:00,,0.0,0.0,,,,,,37.4,89.9,682.0,0.36,,9.48,9.42,9.48,9.42,9.51,9.67,9.37,9.62,7.4,22.9,16.0,12.1,,,
1.0,2020-01-01 01:40:00,,0.0,0.0,,,1.0,,,37.3,89.9,680.0,0.36,,9.48,9.42,9.48,9.42,9.29,9.68,9.56,9.53,7.4,22.9,16.0,12.1,,,24.75
1.0,2020-01-01 01:45:00,1.0,0.0,0.0,0.0,1.0,,284266.49,642790.0,37.4,89.9,678.0,0.36,0.0,9.48,9.42,9.48,9.36,9.24,9.57,9.42,9.48,7.3,22.9,16.1,12.1,24.2,20.2,
1.0,2020-01-01 01:50:00,,0.0,0.0,,,1.0,,,37.5,89.9,676.0,0.32,,9.48,9.36,9.48,9.36,9.43,9.42,9.32,9.54,7.3,22.8,16.1,12.1,,,24.75
1.0,2020-01-01 01:55:00,,0.0,0.0,,,,,,37.2,89.9,676.0,0.32,,9.42,9.36,9.48,9.36,9.28,9.56,9.37,9.37,7.2,22.8,16.1,12.0,,,
1.0,2020-01-01 02:00:00,1.0,0.0,0.0,0.0,1.0,1.0,284266.58,642791.0,37.4,89.8,670.0,0.36,4.0,9.42,9.36,9.42,9.36,9.46,9.45,9.29,9.59,7.2,22.8,16.0,12.0,24.2,20.2,24.75
1.0,2020-01-01 02:05:00,,0.0,0.0,,,,,,37.5,89.9,672.0,0.32,,9.42,9.36,9.48,9.36,9.32,9.63,9.42,9.51,7.2,22.8,16.1,11.9,,,
1.0,2020-01-01 02:10:00,,0.0,0.0,,,1.0,,,37.4,89.9,668.0,0.36,,9.42,9.36,9.48,9.3,9.32,9.42,9.4,9.51,7.2,22.8,16.0,11.9,,,24.75
1.0,2020-01-01 02:15:00,1.0,0.0,0.0,0.0,1.0,,284266.66,642792.0,37.4,89.9,668.0,0.36,4.0,9.42,9.36,9.48,9.3,9.31,9.53,9.56,9.46,7.2,22.7,16.0,11.9,24.2,20.2,
1.0,2020-01-01 02:20:00,,0.0,0.0,,,1.0,,,37.4,89.9,670.0,0.32,,9.42,9.36,9.48,9.3,9.42,9.45,9.4,9.46,7.2,22.7,16.0,11.9,,,24.75
1.0,2020-01-01 02:25:00,,0.0,0.0,,,,,,37.4,89.9,668.0,0.36,,9.42,9.3,9.48,9.3,9.23,9.48,9.51,9.57,7.1,22.7,16.1,11.9,,,
1.0,2020-01-01 02:30:00,1.0,0.0,0.0,0.0,1.0,1.0,284266.74,642793.0,37.4,89.9,666.0,0.28,4.0,9.42,9.3,9.48,9.3,9.35,9.51,9.22,9.46,7.1,22.7,16.1,11.9,24.2,20.2,24.75
1.0,2020-01-01 02:35:00,,0.0,0.0,,,,,,37.4,89.9,662.0,0.32,,9.36,9.3,9.48,9.3,9.18,9.49,9.42,9.57,7.1,22.7,15.9,11.8,,,
1.0,2020-01-01 02:40:00,,0.0,0.0,,,1.0,,,37.3,89.9,662.0,0.36,,9.36,9.3,9.48,9.24,9.18,9.57,9.37,9.46,7.0,22.7,15.9,11.8,,,24.75
1.0,2020-01-01 02:45:00,1.0,0.0,0.0,0.0,1.0,,284266.83,642794.0,37.3,89.9,662.0,0.36,4.0,9.36,9.3,9.42,9.24,9.23,9.54,9.45,9.54,6.9,22.7,15.9,11.8,24.2,20.2,
1.0,2020-01-01 02:50:00,,0.0,0.0,,,1.0,,,37.3,89.9,660.0,0.36,,9.36,9.24,9.42,9.24,9.18,9.51,9.34,9.51,6.9,22.7,15.7,11.7,,,24.75
1.0,2020-01-01 02:55:00,,0.0,0.0,,,,,,37.3,89.9,654.0,0.36,,9.36,9.24,9.36,9.24,9.17,9.37,9.31,9.49,6.8,22.7,15.6,11.7,,,
1.0,2020-01-01 03:00:00,1.0,0.0,0.0,0.0,1.0,1.0,284266.92,642794.0,36.9,89.9,640.0,0.36,0.0,9.3,9.24,9.36,9.24,9.29,9.43,9.2,9.24,6.7,22.7,15.0,11.6,24.2,20.2,24.75
1.0,2020-01-01 03:05:00,,0.0,0.0,,,,,,36.9,89.8,644.0,0.36,,9.3,9.18,9.3,9.24,9.26,9.51,9.18,9.34,6.7,22.8,15.1,11.5,,,
1.0,2020-01-01 03:10:00,,0.0,0.0,,,1.0,,,36.9,89.9,648.0,0.36,,9.3,9.18,9.3,9.18,9.14,9.53,9.37,9.34,6.6,22.8,15.0,11.5,,,24.75
1.0,2020-01-01 03:15:00,1.0,0.0,0.0,0.0,1.0,,284267.0,642795.0,36.6,89.9,640.0,0.32,4.0,9.3,9.18,9.3,9.18,9.17,9.4,9.14,9.22,6.5,22.8,14.9,11.4,24.2,20.2,
1.0,2020-01-01 03:20:00,,0.0,0.0,,,1.0,,,36.6,89.9,626.0,0.36,,9.3,9.18,9.24,9.18,9.12,9.28,9.23,9.37,6.3,22.8,14.6,11.2,,,24.75
1.0,2020-01-01 03:25:00,,0.0,0.0,,,,,,36.4,89.9,624.0,0.36,,9.24,9.11,9.24,9.11,8.98,9.28,9.18,9.12,6.2,22.8,14.4,11.1,,,
1.0,2020-01-01 03:30:00,1.0,0.0,0.0,0.0,1.0,1.0,284267.09,642796.0,36.2,89.9,620.0,0.36,4.0,9.24,9.11,9.18,9.11,9.04,9.34,9.0,9.24,6.1,22.8,14.2,11.0,24.2,20.2,24.75
1.0,2020-01-01 03:35:00,,0.0,0.0,,,,,,36.4,89.9,630.0,0.32,,9.18,9.11,9.18,9.11,9.04,9.08,9.2,9.18,6.0,22.8,14.4,10.9,,,
1.0,2020-01-01 03:40:00,,0.0,0.0,,,1.0,,,36.2,89.9,626.0,0.36,,9.18,9.05,9.11,9.11,8.97,9.22,9.12,9.15,5.9,22.8,14.1,10.9,,,24.75
1.0,2020-01-01 03:45:00,1.0,0.0,0.0,0.0,1.0,,284267.18,642797.0,36.4,89.9,624.0,0.36,4.0,9.18,9.05,9.11,9.11,9.06,9.14,8.87,9.17,5.8,22.8,14.0,10.7,24.2,20.2,
1.0,2020-01-01 03:50:00,,0.0,0.0,,,1.0,,,36.3,89.9,626.0,0.36,,9.18,9.05,9.11,9.05,8.95,9.22,9.04,9.08,5.7,22.8,13.9,10.6,,,24.75
1.0,2020-01-01 03:55:00,,0.0,0.0,,,,,,36.2,89.8,618.0,0.32,,9.11,9.05,9.11,9.05,8.9,9.04,8.98,9.06,5.7,22.8,13.6,10.5,,,
1.0,2020-01-01 04:00:00,1.0,0.0,0.0,0.0,1.0,1.0,284267.27,642797.0,35.9,89.9,614.0,0.36,0.0,9.11,8.99,9.11,9.05,9.01,9.22,9.0,9.15,5.8,22.8,13.5,10.5,24.2,20.2,24.75
1.0,2020-01-01 04:05:00,,0.0,0.0,,,,,,36.0,89.9,616.0,0.36,,9.18,9.05,9.11,9.05,9.01,9.23,9.09,9.14,6.0,22.8,13.4,10.4,,,
1.0,2020-01-01 04:10:00,,0.0,0.0,,,1.0,,,36.1,89.9,618.0,0.36,,9.18,9.05,9.11,9.05,9.06,9.29,9.01,9.09,6.1,22.7,13.5,10.4,,,24.75
1.0,2020-01-01 04:15:00,1.0,0.0,0.0,0.0,1.0,,284267.36,642798.0,36.0,89.9,618.0,0.36,4.0,9.18,9.05,9.11,9.05,9.06,9.18,9.06,9.29,6.2,22.7,13.5,10.4,24.2,20.2,
