Control_compuerta_1_maq_24,datetime,Control_compuerta_2_maq_92,Control_compuerta_3_maq_280,Control_modo_func_instalacion_382,Control_modo_func_instalacion_428,Control_compuerta_4_maq_786,Control_modo_func_instalacion_955,potencia_electrica_activa_1_maq_1,potencia_electrica_activa_2_maq_27,potencia_electrica_activa_3_maq_48,potencia_electrica_activa_4_maq_49,presiones_alta_c1_1_maq_9,presiones_baja_c1_1_maq_10,presiones_alta_c2_1_maq_11,presiones_baja_c2_1_maq_12,presiones_alta_c1_2_maq_32,presiones_alta_c2_2_maq_33,presiones_baja_c1_2_maq_34,presiones_baja_c2_2_maq_35,presiones_alta_c1_3_maq_189,presiones_alta_c2_3_maq_190,presiones_baja_c1_3_maq_191,presiones_baja_c2_3_maq_192,presiones_alta_c1_4_maq_451,presiones_alta_c2_4_maq_452,presiones_baja_c2_4_maq_453,presiones_baja_c1_4_maq_454,temperaturas_exterior_instalacion_13,temperaturas_impulsion_1_maq_15,temperaturas_retorno_1_maq_16,temperaturas_impulsion_2_maq_36,temperaturas_retorno_2_maq_37,temperaturas_exterior_instalacion_47,temperaturas_impulsion_3_maq_187,temperaturas_retorno_3_maq_188,temperaturas_retorno_4_maq_287,temperaturas_impulsion_4_maq_384
0.00,2020-02-01 00:00:00,0.00,0.00,4.00,0.00,0.00,0.00,0.04,0.00,0.16,0.16,11.37,11.42,11.09,11.09,11.55,10.98,11.61,11.01,11.30,11.53,11.53,11.32,10.80,10.91,10.91,10.83,13.80,12.90,15.10,14.50,12.80,13.90,13.90,14.60,14.00,15.80
0.00,2020-02-01 00:05:00,0.00,0.00,,,0.00,,0.04,0.00,0.16,0.16,11.26,11.31,11.09,11.09,11.43,10.90,11.50,11.02,11.16,11.46,11.50,11.23,10.81,10.84,10.86,10.83,13.60,13.00,15.00,14.40,12.80,13.80,14.00,14.70,14.00,15.80
0.00,2020-02-01 00:10:00,0.00,0.00,,,0.00,0.00,0.04,0.00,0.16,0.16,11.26,11.31,11.09,11.09,11.43,10.93,11.51,10.91,11.21,11.37,11.54,11.14,10.77,10.91,10.87,10.79,14.00,13.00,15.00,14.50,12.90,14.00,14.10,14.80,14.00,15.80
0.00,2020-02-01 00:15:00,0.00,0.00,4.00,0.00,0.00,,0.04,0.00,0.16,0.16,11.20,11.26,11.03,11.09,11.39,10.83,11.33,10.97,11.11,11.34,11.50,11.04,10.77,10.84,10.76,10.75,13.60,13.10,15.00,14.40,12.90,13.90,14.10,14.90,14.10,15.90
0.00,2020-02-01 00:20:00,0.00,0.00,,,0.00,0.00,0.08,0.00,0.16,0.16,11.20,11.26,11.03,11.03,11.36,10.79,11.34,10.91,11.01,11.40,11.40,11.00,10.73,10.77,10.77,10.75,13.10,13.20,15.10,14.40,13.00,13.50,14.10,14.90,14.20,16.00
0.00,2020-02-01 00:25:00,0.00,0.00,,,0.00,,0.08,0.00,0.16,0.16,11.15,11.20,11.03,11.03,11.29,10.80,11.33,10.83,11.01,11.36,11.40,11.01,10.75,10.86,10.73,10.68,13.50,13.20,15.10,14.40,13.00,13.90,14.10,15.10,14.20,16.00
0.00,2020-02-01 00:30:00,0.00,0.00,4.00,0.00,0.00,0.00,0.04,0.00,0.16,0.16,11.09,11.15,11.03,11.03,11.27,10.77,11.29,10.86,10.95,11.27,11.41,11.02,10.73,10.72,10.72,10.75,13.60,13.10,15.10,14.40,13.00,13.90,14.10,15.30,14.30,15.90
0.00,2020-02-01 00:35:00,0.00,0.00,,,0.00,,0.04,0.00,0.16,0.16,11.09,11.15,11.03,11.03,11.27,10.77,11.34,10.86,11.00,11.39,11.43,11.05,10.80,10.79,10.76,10.69,13.20,13.10,15.10,14.40,13.00,13.40,14.10,15.20,14.30,15.90
0.00,2020-02-01 00:40:00,0.00,0.00,,,0.00,0.00,0.04,0.00,0.16,0.16,11.03,11.09,11.09,11.09,11.25,10.87,11.29,10.84,11.09,11.46,11.47,11.16,10.83,10.87,10.77,10.75,13.00,13.10,15.00,14.40,13.00,13.30,14.10,15.10,14.30,15.80
0.00,2020-02-01 00:45:00,0.00,0.00,4.00,0.00,0.00,,0.04,0.00,0.16,0.16,11.03,11.09,11.15,11.15,11.18,10.86,11.25,11.00,11.14,11.60,11.60,11.08,10.90,10.83,10.77,10.90,13.10,13.00,14.80,14.30,12.90,13.20,14.10,15.20,14.20,15.70
0.00,2020-02-01 00:50:00,0.00,0.00,,,0.00,0.00,0.04,0.00,0.16,0.16,11.09,11.15,11.26,11.26,11.29,11.04,11.23,11.12,11.11,11.66,11.69,11.18,10.88,10.77,10.77,10.88,13.40,13.00,14.70,14.30,12.90,13.50,14.10,15.40,14.20,15.70
0.00,2020-02-01 00:55:00,0.00,0.00,,,0.00,,0.04,0.00,0.16,0.16,11.09,11.15,11.26,11.26,11.29,11.05,11.22,11.05,11.18,11.66,11.65,11.12,11.02,10.84,10.83,10.98,13.30,13.00,14.70,14.30,13.00,13.40,14.10,15.40,14.20,15.80
0.00,2020-02-01 01:00:00,0.00,0.00,4.00,0.00,0.00,,0.04,0.00,0.16,0.16,11.09,11.15,11.31,11.31,11.30,11.08,11.34,11.16,11.19,11.83,11.83,11.22,11.11,10.88,10.81,11.07,13.40,13.00,14.60,14.50,13.10,13.90,14.20,15.60,14.30,15.80
0.00,2020-02-01 01:05:00,0.00,0.00,,,0.00,,0.04,0.00,0.16,0.16,11.15,11.20,11.37,11.37,11.37,11.11,11.43,11.14,11.32,11.73,11.90,11.23,11.15,11.01,10.94,11.04,13.80,13.10,14.60,14.50,13.30,13.90,14.20,15.20,14.30,15.70
0.00,2020-02-01 01:10:00,0.00,0.00,,,0.00,0.00,0.04,0.00,0.16,0.20,11.37,11.42,11.70,11.75,11.58,11.39,11.63,11.39,11.60,12.11,12.28,11.66,11.51,11.29,11.30,11.39,14.90,13.30,14.60,14.50,13.50,14.90,14.30,15.30,14.30,15.70
0.00,2020-02-01 01:15:00,0.00,0.00,4.00,0.00,0.00,,0.04,0.00,0.16,0.16,11.42,11.48,11.75,11.81,11.69,11.37,11.69,11.50,11.70,12.25,12.40,11.65,11.63,11.40,11.44,11.51,15.00,13.60,14.80,14.70,13.80,15.00,14.50,15.80,14.60,15.80
0.00,2020-02-01 01:20:00,0.00,0.00,,,0.00,,0.04,0.00,0.16,0.16,11.86,11.92,12.14,12.14,12.14,11.91,12.09,12.01,12.00,12.69,12.71,12.03,11.93,11.69,11.68,11.84,16.00,13.80,15.00,15.00,14.20,15.90,14.80,16.20,15.00,15.90
0.00,2020-02-01 01:25:00,0.00,0.00,,,0.00,,0.04,0.00,0.16,0.16,11.97,12.03,12.30,12.30,12.25,12.11,12.33,12.12,12.16,12.66,12.79,12.22,11.98,11.84,11.77,11.96,16.30,14.20,15.30,15.30,14.50,16.70,15.20,16.40,15.30,16.10
0.00,2020-02-01 01:30:00,0.00,0.00,4.00,0.00,0.00,0.00,0.04,0.00,0.16,0.16,12.30,12.36,12.69,12.69,12.61,12.54,12.69,12.51,12.52,13.08,13.08,12.47,12.29,12.12,12.16,12.32,17.90,14.50,15.60,15.60,15.10,18.50,15.60,17.00,15.90,16.20
