Control_compuerta_1_maq,datetime,Control_compuerta_2_maq,Control_alarma_1_maq,Control_alarma_2_maq,Control_filtro_instalacion,Control_None_instalacion,Control_marcha_paro_3_maq,Control_alarma_3_maq,Control_compuerta_3_maq,Control_alarma_4_maq,Control_marcha_paro_2_maq,Control_modo_func_instalacion,Control_marcha_paro_4_maq,Control_marcha_paro_1_maq,Control_algoritmos_instalacion,Control_compuerta_4_maq,electricos_FP_instalacion,flujo_energia_activa_instalacion,flujo_energia_activa_1_maq,flujo_energia_activa_2_maq,flujo_energia_activa_3_maq,flujo_None_4_maq,otros_params_fisicos_humedad_instalacion,otros_params_fisicos_co2_instalacion,potencia_electrica_activa_1_maq,potencia_electrica_activa_2_maq,potencia_electrica_activa_3_maq,potencia_electrica_activa_4_maq,potencia_electrica_activa_instalacion,presiones_alta_c1_1_maq,presiones_baja_c1_1_maq,presiones_alta_c2_1_maq,presiones_baja_c2_1_maq,presiones_alta_c1_2_maq,presiones_alta_c2_2_maq,presiones_baja_c1_2_maq,presiones_baja_c2_2_maq,presiones_alta_c1_3_maq,presiones_alta_c2_3_maq,presiones_baja_c1_3_maq,presiones_baja_c2_3_maq,presiones_alta_c1_4_maq,presiones_alta_c2_4_maq,presiones_baja_c2_4_maq,presiones_baja_c1_4_maq,temperaturas_exterior_instalacion,temperaturas_interior_instalacion,temperaturas_impulsion_1_maq,temperaturas_retorno_1_maq,temperaturas_impulsion_2_maq,temperaturas_retorno_2_maq,temperaturas_impulsion_3_maq,temperaturas_retorno_3_maq,temperaturas_consigna_v_3_maq,temperaturas_t_exterior_instalacion,temperaturas_retorno_4_maq,temperaturas_consigna_v_2_maq,temperaturas_consigna_v_4_maq,temperaturas_impulsion_4_maq,temperaturas_consigna_v_1_maq,temperaturas_consigna_i_1_maq,temperaturas_consigna_instalacion
0.00,2020-02-01 00:00:00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-0.81,576182.00,47970.25,45901.00,33575.94,50358.90,54.00,,0.04,0.00,0.16,0.16,0.36,11.37,11.42,11.09,11.09,11.55,10.98,11.61,11.01,11.30,11.53,11.53,11.32,10.80,10.91,10.91,10.83,13.90,20.50,12.90,15.10,14.50,12.80,13.90,14.60,24.00,12.90,14.00,23.50,24.50,15.80,23.50,24.00,24.00
0.00,2020-02-01 00:05:00,0.00,1.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,,,,,,,54.00,,0.04,0.00,0.16,0.16,0.36,11.26,11.31,11.09,11.09,11.43,10.90,11.50,11.02,11.16,11.46,11.50,11.23,10.81,10.84,10.86,10.83,13.80,20.50,13.00,15.00,14.40,12.80,14.00,14.70,,13.10,14.00,,,15.80,,,
0.00,2020-02-01 00:10:00,0.00,1.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,54.00,,0.04,0.00,0.16,0.16,0.36,11.26,11.31,11.09,11.09,11.43,10.93,11.51,10.91,11.21,11.37,11.54,11.14,10.77,10.91,10.87,10.79,14.00,20.50,13.00,15.00,14.50,12.90,14.10,14.80,,13.00,14.00,,,15.80,,,24.00
0.00,2020-02-01 00:15:00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.00,0.00,0.96,576183.00,47970.26,45901.00,33575.98,50358.94,54.00,,0.04,0.00,0.16,0.16,0.36,11.20,11.26,11.03,11.09,11.39,10.83,11.33,10.97,11.11,11.34,11.50,11.04,10.77,10.84,10.76,10.75,13.90,20.50,13.10,15.00,14.40,12.90,14.10,14.90,24.00,13.00,14.10,23.50,24.50,15.90,23.50,24.00,
0.00,2020-02-01 00:20:00,0.00,1.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,54.00,,0.08,0.00,0.16,0.16,0.40,11.20,11.26,11.03,11.03,11.36,10.79,11.34,10.91,11.01,11.40,11.40,11.00,10.73,10.77,10.77,10.75,13.50,20.50,13.20,15.10,14.40,13.00,14.10,14.90,,12.90,14.20,,,16.00,,,24.00
0.00,2020-02-01 00:25:00,0.00,1.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,,,,,,,54.00,,0.08,0.00,0.16,0.16,0.40,11.15,11.20,11.03,11.03,11.29,10.80,11.33,10.83,11.01,11.36,11.40,11.01,10.75,10.86,10.73,10.68,13.90,20.50,13.20,15.10,14.40,13.00,14.10,15.10,,12.90,14.20,,,16.00,,,
0.00,2020-02-01 00:30:00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,-0.99,576185.00,47970.27,45901.00,33576.02,50358.98,54.00,,0.04,0.00,0.16,0.16,0.36,11.09,11.15,11.03,11.03,11.27,10.77,11.29,10.86,10.95,11.27,11.41,11.02,10.73,10.72,10.72,10.75,13.90,20.40,13.10,15.10,14.40,13.00,14.10,15.30,24.00,12.80,14.30,23.50,24.50,15.90,23.50,24.00,24.00
0.00,2020-02-01 00:35:00,0.00,1.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,,,,,,,54.00,,0.04,0.00,0.16,0.16,0.36,11.09,11.15,11.03,11.03,11.27,10.77,11.34,10.86,11.00,11.39,11.43,11.05,10.80,10.79,10.76,10.69,13.40,20.40,13.10,15.10,14.40,13.00,14.10,15.20,,12.90,14.30,,,15.90,,,
0.00,2020-02-01 00:40:00,0.00,1.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,,,,,,54.00,,0.04,0.00,0.16,0.16,0.36,11.03,11.09,11.09,11.09,11.25,10.87,11.29,10.84,11.09,11.46,11.47,11.16,10.83,10.87,10.77,10.75,13.30,20.40,13.10,15.00,14.40,13.00,14.10,15.10,,13.30,14.30,,,15.80,,,24.00
0.00,2020-02-01 00:45:00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.00,0.00,-0.99,576187.00,47970.28,45901.00,33576.06,50359.02,54.00,,0.04,0.00,0.16,0.16,0.36,11.03,11.09,11.15,11.15,11.18,10.86,11.25,11.00,11.14,11.60,11.60,11.08,10.90,10.83,10.77,10.90,13.20,20.40,13.00,14.80,14.30,12.90,14.10,15.20,24.00,13.10,14.20,23.50,24.50,15.70,23.50,24.00,
