Paro - marcha,datetime,Verano - invierno,% compuerta exterior,Alarma,Filtro sucio,Algoritmos,Verano - Invierno Tienda,Rooftop,Energía Contador,Humedad interior,Humedad exterior,CO2,Potencia Rooftop,Potencia General,Presión Alta C1,Presión Baja C1,Presión Alta C2,Presión Baja C2,Presión Alta C3,Presión Alta C4,Presión Baja C3,Presión Baja C4,Tª exterior,Tª interior,Tª impulsión,Tª retorno,Tª SET verano,Tª SET invierno,Tª consigna activa
0.0,2020-02-04 00:00:00,0.0,0.0,0.0,0.0,1.0,1.0,286681.68,662718.0,42.0,89.9,750.0,0.28,4.0,11.52,11.39,11.45,11.52,11.43,11.62,11.43,11.48,13.2,24.0,17.9,16.5,24.0,20.0,24.7
0.0,2020-02-04 00:05:00,,0.0,0.0,,,,,,42.1,89.8,752.0,0.32,,11.52,11.39,11.39,11.45,11.42,11.36,11.42,11.48,13.1,24.0,17.8,16.4,,,
0.0,2020-02-04 00:10:00,,0.0,0.0,,,1.0,,,42.0,89.8,746.0,0.32,,11.45,11.33,11.39,11.39,11.31,11.53,11.29,11.39,13.1,24.0,17.8,16.2,,,24.7
0.0,2020-02-04 00:15:00,0.0,0.0,0.0,0.0,1.0,,286681.75,662719.0,42.1,89.4,742.0,0.32,4.0,11.45,11.33,11.39,11.39,11.36,11.51,11.34,11.42,13.2,24.0,17.8,16.2,24.0,20.0,
0.0,2020-02-04 00:20:00,,0.0,0.0,,,1.0,,,42.0,88.8,738.0,0.28,,11.45,11.39,11.39,11.39,11.31,11.28,11.23,11.43,13.2,23.9,17.8,16.1,,,24.7
0.0,2020-02-04 00:25:00,,0.0,0.0,,,,,,42.0,87.7,734.0,0.32,,11.45,11.39,11.39,11.39,11.25,11.54,11.34,11.42,13.2,23.9,17.8,16.1,,,
0.0,2020-02-04 00:30:00,0.0,0.0,0.0,0.0,1.0,1.0,286681.83,662720.0,41.9,87.8,728.0,0.36,4.0,11.45,11.39,11.39,11.39,11.25,11.58,11.5,11.33,13.2,23.9,17.7,16.0,24.0,20.0,24.7
0.0,2020-02-04 00:35:00,,0.0,0.0,,,,,,42.0,87.7,722.0,0.36,,11.45,11.39,11.39,11.39,11.34,11.4,11.28,11.48,13.2,23.9,17.6,16.0,,,
0.0,2020-02-04 00:40:00,,0.0,0.0,,,1.0,,,42.0,88.2,718.0,0.36,,11.45,11.39,11.39,11.39,11.34,11.45,11.22,11.34,13.2,23.9,17.6,16.0,,,24.7
0.0,2020-02-04 00:45:00,0.0,0.0,0.0,0.0,1.0,,286681.91,662721.0,42.0,88.8,720.0,0.36,4.0,11.39,11.39,11.39,11.39,11.22,11.56,11.4,11.37,13.1,23.8,17.5,15.9,24.0,20.0,
0.0,2020-02-04 00:50:00,,0.0,0.0,,,1.0,,,42.0,88.9,718.0,0.36,,11.45,11.39,11.39,11.39,11.11,11.37,11.42,11.28,13.1,23.8,17.5,15.8,,,24.7
0.0,2020-02-04 00:55:00,,0.0,0.0,,,,,,42.1,89.7,716.0,0.32,,11.39,11.39,11.33,11.33,11.26,11.37,11.26,11.22,12.9,23.8,17.4,15.7,,,
0.0,2020-02-04 01:00:00,0.0,0.0,0.0,0.0,1.0,1.0,286681.99,662721.0,41.9,89.9,708.0,0.32,0.0,11.39,11.33,11.33,11.33,11.23,11.4,11.36,11.22,12.8,23.8,17.5,15.6,24.0,20.0,24.7
