Paro - marcha,,,,,,,,,,,,,, 
Verano - invierno,,,,,,,,,,,,,,
% compuerta exterior,ok,,,,,,,,,,,,,
Alarma,,,,,,,,,,,,,,
Filtro sucio,,,,,,,,,,,,,,
Algoritmos,,,,,,,,,,,,,,
Verano - Invierno Tienda,ok,,,,,,,,,,,,,
Rooftop,,,,,,,,,,,,,,
Energía Contador,,,,,,,,,,,,,,
Humedad interior,,,,,,,,,,,,,,
Humedad exterior,,,,,,,,,,,,,,
CO2,,,,,,,,,,,,,,
Potencia Rooftop,ok,,,,,,,,,,,,,
Potencia General,,,,,,,,,,,,,,
Presión Alta C2,ok,,,,,,,,,,,,,
Presión Alta C4,ok,,,,,,,,,,,,,
Tª interior,ok,,,,,,,,,,,,,
Tª SET invierno,,,,,,,,,,,,,,
Presión Alta C1,ok,,,,,,,,,,,,,
Presión Baja C2,ok,,,,,,,,,,,,,
Presión Baja C3,ok,,,,,,,,,,,,,
Tª impulsión,ok,,,,,,,,,,,,,
Tª consigna activa,,,,,,,,,,,,,,
Presión Baja C1,ok,,,,,,,,,,,,,
Presión Alta C3,ok,,,,,,,,,,,,,
Presión Baja C4,ok,,,,,,,,,,,,,
Tª retorno,ok,,,,,,,,,,,,,
Tª exterior,ok,,,,,,,,,,,,,
Tª SET verano,,,,,,,,,,,,,,
